Product_ID,product_name,brand,price,Original_Price,Discount_Percentage,Rating,Number_of_Ratings,Shades_Available,Breadcrumbs,Product_URL,Description
PROD0001,Maybelline Pure Lipstick,Maybelline,5014,5193,3.4,3.9,7056,3,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0001,Long-lasting formula with smooth application.
PROD0002,Charlotte Tilbury Hydra Lipstick,Charlotte Tilbury,3519,3594,2.1,4.6,7175,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0002,Tested by dermatologists and suitable for all skin types.
PROD0003,Lakme Matte Lipstick,Lakme,1335,2522,47.1,4.2,4593,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0003,Long-lasting formula with smooth application.
PROD0004,Nykaa Intense Lipstick,Nykaa,4253,4919,13.5,4.8,7183,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0004,Long-lasting formula with smooth application.
PROD0005,Nykaa Matte Lipstick,Nykaa,2565,3147,18.5,4.4,3652,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0005,"Smudge-proof, waterproof, and lightweight formula."
PROD0006,Maybelline Matte Lipstick,Maybelline,2143,3468,38.2,4.3,441,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0006,Enriched with natural extracts for everyday use.
PROD0007,Nykaa Hydra Lipstick,Nykaa,1132,1776,36.3,5,2166,16,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0007,Long-lasting formula with smooth application.
PROD0008,Charlotte Tilbury Hydra Lipstick,Charlotte Tilbury,2702,3232,16.4,4.5,7448,4,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0008,"Smudge-proof, waterproof, and lightweight formula."
PROD0009,Nykaa Intense Lipstick,Nykaa,830,996,16.7,3.7,7433,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0009,Hydrating and gentle on skin with rich texture.
PROD0010,Nykaa Intense Lipstick,Nykaa,2720,3579,24,3.9,6208,20,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0010,Hydrating and gentle on skin with rich texture.
PROD0011,Lakme Glow Lipstick,Lakme,1544,2269,32,4.8,5645,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0011,Long-lasting formula with smooth application.
PROD0012,Maybelline Hydra Lipstick,Maybelline,1544,2912,47,3.8,826,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0012,Hydrating and gentle on skin with rich texture.
PROD0013,Maybelline Glow Lipstick,Maybelline,4742,4938,4,4.6,257,11,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0013,"Smudge-proof, waterproof, and lightweight formula."
